g,epsilon,h_center,layer
0.0005861393848614,0.05,1.6001741301987469,2
0.0010780014715817,0.1,1.5641157806885442,2
0.0015620374913089,0.15,1.564571153246624,2
0.0020358367659418,0.2,1.5203518508831704,2
0.0025164259379857,0.25,1.581949144802223,2
0.0030291459771499,0.3,1.8171277215800508,2
0.0034581669250395,0.35,1.5756933915422395,2
0.0039479505351173,0.4,1.748053116075298,2
0.004389270059171,0.45,1.5303907051309382,2
0.0048799222485097,0.5,1.737771518006208,2
0.0054254217285501,0.55,1.907429515700398,2
0.0058742030213335,0.6000000000000001,1.8929149886216252,2
0.0063601067091728,0.65,1.913373965823982,2
0.0068862034909516,0.7000000000000001,1.9486716306653,2
0.0072608949279089,0.75,1.890121743049438,2
0.0076559740390199,0.8,1.7180231940352726,2
0.0082892626751211,0.8500000000000001,1.955517617282823,2
0.0087402972324268,0.9,1.9515612015324344,2
0.0092158734383514,0.95,1.9576835207893355,2
0.0097173266507013,1.0,1.9688330510227603,2
0.0099781941947319,1.05,1.810061695980341,2
0.0105211267301959,1.1,1.9236674154720648,2
0.01109360125816,1.15,1.9684953086162364,2
0.0113914157310801,1.2000000000000002,1.880786783545481,2
0.0120112443398143,1.25,1.968715651413397,2
0.0123336934993733,1.3,1.907535279789573,2
0.0130047932347127,1.35,1.982986399447072,2
0.0133539148186332,1.4,1.9602036064149524,2
0.0137124087838103,1.4500000000000002,1.912246631673048,2
0.0140805267375192,1.5,1.7175639968046217,2
0.0148466749937142,1.55,1.984447998898272,2
0.0152452430136903,1.6,1.975037549431552,2
0.0156545108345724,1.65,1.9651336522057985,2
0.0160747656990233,1.7000000000000002,1.953840098994568,2
0.01650630256091,1.75,1.943494614007552,2
0.0169494242923154,1.8,1.93863556299016,2
0.0174044418961077,1.85,1.9367958986352285,2
0.0178716747242162,1.9,1.941949898893805,2
0.018351450701767,1.95,1.9514466346794803,2
0.0188441065572356,2.0,1.96389828697901,2
0.0029085982963403837,0.05,,3
0.008254993504806286,0.05,,4
0.0043394592257475495,0.1,,3
0.012968925351500817,0.1,,4
0.005604344701466275,0.15,,3
0.01626379177680332,0.15,,4
0.006772481368671989,0.2,,3
0.01888601136195049,0.2,,4
0.00790321071978796,0.25,,3
0.008978888744926448,0.3,,3
0.010024822340050674,0.35,,3
0.011056939238559004,0.4,,3
0.012065053775193853,0.45,,3
0.01304535486235163,0.5,,3
0.014029262124147231,0.55,,3
0.014992515328851621,0.6000000000000001,,3
0.01595731678343159,0.65,,3
0.016894437838433363,0.7000000000000001,,3
0.017829127114179787,0.75,,3
0.01876439193261674,0.8,,3
0.019696938926651086,0.8500000000000001,,3
