g,time,width
0.01,0.0,1.85546875
0.01,0.0008175568521812916,1.85546875
0.01,0.0010219460652266144,1.85546875
0.01,0.001073043368487945,1.85546875
0.01,0.0010756087816687098,1.85546875
0.01,0.0010781741948494745,1.85546875
0.01,0.0010807396080302393,1.85546875
0.01,0.001083305021211004,1.85546875
0.01,0.0010858704343917687,1.85546875
0.01,0.0010884358475725334,1.85546875
0.01,0.0010910012607532982,1.85546875
0.01,0.0010935666739340629,1.85546875
0.01,0.0010961320871148276,1.85546875
0.01,0.0010986975002955923,1.85546875
0.01,0.001101262913476357,1.85546875
0.01,0.0011038283266571218,1.85546875
0.01,0.0011063937398378865,1.85546875
0.01,0.0011089591530186512,1.85546875
0.01,0.001111888188266344,1.85546875
0.01,0.0011148172235140369,1.85546875
0.01,0.0011177462587617297,1.85546875
0.01,0.0011204058460461091,1.85546875
0.01,0.0011470017188899026,1.85546875
0.01,0.001173597591733696,1.85546875
0.01,0.0012001934645774895,1.85546875
0.01,0.0014661521930154253,1.85546875
0.01,0.0017321109214533611,1.85546875
0.01,0.0031204629086294096,1.85546875
0.01,0.0045088148958054575,1.85546875
0.01,0.0067650089806611646,1.85546875
0.01,0.009021203065516872,1.85546875
0.01,0.011277397150372579,1.85546875
0.01,0.015221871173053486,1.66015625
0.01,0.019166345195734395,1.66015625
0.01,0.023110819218415304,1.66015625
0.01,0.027055293241096214,1.66015625
0.01,0.03185400638709921,1.46484375
0.01,0.03665271953310221,1.46484375
0.01,0.041451432679105206,1.46484375
0.01,0.0462501458251082,1.26953125
0.01,0.0510488589711112,1.26953125
0.01,0.0558475721171142,1.07421875
0.01,0.060646285263117196,1.07421875
0.01,0.06544499840912019,0.87890625
0.01,0.07024371155512318,0.68359375
0.01,0.07504242470112618,0.29296875
0.01,0.08038897427796493,0.0
0.01,0.08573552385480368,0.0
0.01,0.09108207343164243,0.0
0.01,0.09642862300848118,0.0
0.01,0.10177517258531993,0.0
0.01,0.10712172216215868,0.0
0.01,0.11246827173899743,0.0
0.01,0.11781482131583618,0.0
0.01,0.12316137089267493,0.0
0.01,0.12927286199470597,0.0
0.01,0.13538435309673702,0.0
0.01,0.14149584419876807,0.0
0.01,0.1483094364087037,0.0
0.01,0.15398204160134868,0.0
0.01,0.15965464679399366,0.0
0.01,0.16532725198663864,0.0
0.01,0.17354634538518862,0.0
0.01,0.1817654387837386,0.0
0.01,0.18998453218228858,0.0
0.01,0.19820362558083857,0.0
0.01,0.20642271897938855,0.0
0.01,0.21464181237793853,0.0
0.01,0.22887373240090159,0.0
0.01,0.24310565242386464,0.0
0.01,0.2573375724468277,0.0
0.01,0.27918881431412973,0.0
0.01,0.30104005618143176,0.0
0.01,0.3228912980487338,0.0
0.01,0.3447425399160358,0.0
0.01,0.3698212988424013,0.0
0.01,0.39490005776876674,0.0
0.01,0.4199788166951322,0.0
0.01,0.4610225810436618,0.0
0.01,0.5020663453921913,3.80859375
0.01,0.5431101097407208,3.80859375
0.01,0.613195419486837,4.00390625
0.01,0.6832807292329532,4.00390625
0.01,0.7533660389790695,4.00390625
0.01,0.8618912726504955,4.00390625
0.01,0.9704165063219214,4.19921875
0.01,1.0789417399933474,4.19921875
0.01,1.227280074085382,4.19921875
0.01,1.3756184081774165,4.19921875
0.01,1.523956742269451,4.19921875
0.01,1.6722950763614857,4.19921875
0.01,1.8677661555963232,4.19921875
0.01,2.0632372348311607,4.19921875
0.01,2.258708314065998,4.19921875
0.01,2.4541793933008353,4.19921875
0.01,2.6496504725356727,4.19921875
0.01,2.9174109168167477,4.39453125
0.01,3.1851713610978227,4.39453125
0.01,3.4529318053788978,4.39453125
0.01,3.720692249659973,4.39453125
0.01,4.413154819105102,4.39453125
0.01,5.105617388550232,4.39453125
0.01,5.798079957995361,4.39453125
0.01,7.185842696833866,4.58984375
0.01,8.573605435672372,4.58984375
0.01,9.961368174510877,4.58984375
0.01,11.349130913349383,4.58984375
0.01,12.736893652187888,4.78515625
0.01,14.124656391026393,4.78515625
0.01,15.512419129864899,4.78515625
0.01,16.900181868703406,4.98046875
0.01,18.287944607541913,4.98046875
0.01,19.67570734638042,4.98046875
0.01,21.063470085218928,5.17578125
0.01,22.451232824057435,5.17578125
0.01,23.838995562895942,5.17578125
0.01,25.22675830173445,5.17578125
0.01,26.614521040572956,5.37109375
0.01,28.31535402455383,5.37109375
0.01,30.016187008534704,5.56640625
0.01,31.717019992515578,5.56640625
0.01,33.417852976496455,5.56640625
0.01,35.445958897605074,5.76171875
0.01,37.47406481871369,5.76171875
0.01,39.50217073982231,5.95703125
0.01,41.53027666093093,5.95703125
0.01,43.55838258203955,6.15234375
0.01,45.58648850314817,6.15234375
0.01,47.2497553153686,6.34765625
0.01,48.91302212758904,6.34765625
0.01,50.57628893980947,6.34765625
0.01,52.23955575202991,6.54296875
0.01,53.90282256425034,6.54296875
0.01,55.56608937647078,6.73828125
0.01,57.22935618869121,6.73828125
0.01,58.89262300091165,6.73828125
0.01,60.55588981313208,6.93359375
0.01,60.80029931567674,6.93359375
0.01,61.044708818221395,6.93359375
0.01,61.28911832076605,6.93359375
0.01,61.533527823310706,6.93359375
0.01,62.02234682840001,6.93359375
0.01,62.511165833489315,6.93359375
0.01,62.99998483857862,6.93359375
0.01,64.0738658450485,7.12890625
0.01,65.14774685151838,7.12890625
0.01,66.22162785798825,7.12890625
0.01,67.58414736975979,7.32421875
0.01,68.94666688153133,7.32421875
0.01,70.30918639330287,7.32421875
0.01,71.6717059050744,7.51953125
0.01,73.03422541684594,7.51953125
0.01,74.39674492861748,7.51953125
0.01,75.75926444038902,7.71484375
0.01,77.12178395216056,7.71484375
0.01,78.4843034639321,7.71484375
0.01,79.84682297570363,7.91015625
0.01,81.47355689145941,7.91015625
0.01,83.10029080721519,7.91015625
0.01,84.72702472297097,8.10546875
0.01,86.35375863872675,8.10546875
0.01,87.98049255448252,8.30078125
0.01,89.6072264702383,8.30078125
0.01,91.23396038599408,8.49609375
0.01,92.86069430174986,8.49609375
0.01,94.48742821750564,8.49609375
0.01,96.11416213326142,8.69140625
0.01,97.94426145765965,8.69140625
0.01,99.77436078205788,8.88671875
0.01,101.60446010645612,8.88671875
0.01,103.43455943085435,9.08203125
0.01,105.26465875525258,9.08203125
0.01,107.09475807965082,9.27734375
0.01,108.92485740404905,9.27734375
0.01,110.75495672844728,9.47265625
0.01,112.58505605284552,9.47265625
0.01,114.41515537724375,9.66796875
0.01,116.24525470164198,9.66796875
0.01,118.07535402604022,9.86328125
0.01,119.90545335043845,9.86328125
0.01,121.73555267483668,10.05859375
0.01,123.56565199923492,10.05859375
0.01,125.39575132363315,10.25390625
0.01,127.22585064803138,10.25390625
0.01,129.05594997242963,10.44921875
0.01,130.88604929682788,10.44921875
0.01,132.71614862122613,10.64453125
0.01,134.54624794562437,10.64453125
0.01,136.37634727002262,10.83984375
0.01,138.20644659442087,10.83984375
0.01,140.03654591881912,11.03515625
0.01,141.86664524321736,11.03515625
0.01,143.6967445676156,11.23046875
0.01,145.52684389201386,11.23046875
0.01,147.3569432164121,11.42578125
0.01,149.18704254081035,11.42578125
0.01,151.0171418652086,11.62109375
0.01,152.84724118960685,11.62109375
0.01,154.6773405140051,11.81640625
0.01,156.50743983840334,11.81640625
0.01,158.3375391628016,12.01171875
0.01,160.16763848719984,12.01171875
0.01,161.99773781159809,12.20703125
0.01,163.82783713599633,12.20703125
0.01,165.65793646039458,12.40234375
0.01,167.48803578479283,12.40234375
0.01,169.31813510919108,12.59765625
0.01,171.14823443358932,12.59765625
0.01,172.97833375798757,12.79296875
0.01,174.80843308238582,12.79296875
0.01,176.63853240678407,12.98828125
0.01,178.4686317311823,12.98828125
0.01,180.29873105558056,13.18359375
0.01,182.1288303799788,13.18359375
0.01,183.95892970437706,13.37890625
0.01,185.7890290287753,13.37890625
0.01,187.61912835317355,13.57421875
0.01,189.4492276775718,13.57421875
0.01,191.27932700197005,13.76953125
0.01,193.1094263263683,13.76953125
0.01,194.93952565076654,13.96484375
0.01,196.7696249751648,13.96484375
0.01,198.59972429956304,14.16015625
0.01,200.42982362396128,14.16015625
0.01,202.25992294835953,14.35546875
0.01,204.09002227275778,14.55078125
0.01,205.92012159715603,14.55078125
0.01,207.75022092155427,14.74609375
0.01,209.58032024595252,14.74609375
0.01,211.41041957035077,14.94140625
0.01,213.24051889474902,14.94140625
0.01,215.07061821914726,15.13671875
