g,time,width
0.01,0.0,1.85546875
0.01,0.0008175568525747387,1.85546875
0.01,0.0010219460657184232,1.85546875
0.01,0.0010730433690043443,1.85546875
0.01,0.001075599898725848,1.85546875
0.01,0.0010781564284473519,1.85546875
0.01,0.0010807129581688556,1.85546875
0.01,0.0010832694878903594,1.85546875
0.01,0.0010858260176118632,1.85546875
0.01,0.001088382547333367,1.85546875
0.01,0.0010909390770548707,1.85546875
0.01,0.0010934956067763745,1.85546875
0.01,0.0010960521364978782,1.85546875
0.01,0.001098608666219382,1.85546875
0.01,0.0011011651959408858,1.85546875
0.01,0.0011037217256623896,1.85546875
0.01,0.0011062782553838933,1.85546875
0.01,0.001108834785105397,1.85546875
0.01,0.0011113913148269009,1.85546875
0.01,0.0011139478445484046,1.85546875
0.01,0.0011165043742699084,1.85546875
0.01,0.001120003350783913,1.85546875
0.01,0.001154993115923959,1.85546875
0.01,0.001189982881064005,1.85546875
0.01,0.001224972646204051,1.85546875
0.01,0.0015748702976045108,1.85546875
0.01,0.0019247679490049707,1.85546875
0.01,0.0034111917440781906,1.85546875
0.01,0.00489761553915141,1.85546875
0.01,0.007266138951965578,1.85546875
0.01,0.009634662364779745,1.85546875
0.01,0.012003185777593912,1.85546875
0.01,0.01604433726787304,1.66015625
0.01,0.020085488758152165,1.66015625
0.01,0.02412664024843129,1.66015625
0.01,0.028167791738710417,1.66015625
0.01,0.032955919236648756,1.46484375
0.01,0.037744046734587096,1.46484375
0.01,0.042532174232525435,1.46484375
0.01,0.047320301730463775,1.26953125
0.01,0.052108429228402114,1.26953125
0.01,0.056896556726340454,1.07421875
0.01,0.061684684224278793,0.87890625
0.01,0.067624494578089,0.68359375
0.01,0.07356430493189921,0.48828125
0.01,0.07950411528570941,0.0
0.01,0.08544392563951962,0.0
0.01,0.09230629289745527,0.0
0.01,0.09916866015539093,0.0
0.01,0.10603102741332658,0.0
0.01,0.11289339467126223,0.0
0.01,0.11975576192919789,0.0
0.01,0.12661812918713355,0.0
0.01,0.1334804964450692,0.0
0.01,0.14034286370300486,0.0
0.01,0.14720523096094051,0.0
0.01,0.15406759821887617,0.0
0.01,0.16092996547681182,0.0
0.01,0.16779233273474747,0.0
0.01,0.17465469999268313,0.0
0.01,0.18392883257419204,0.0
0.01,0.19320296515570096,0.0
0.01,0.20247709773720987,0.0
0.01,0.21175123031871879,0.0
0.01,0.22698565008743635,0.0
0.01,0.2422200698561539,0.0
0.01,0.2574544896248715,0.0
0.01,0.2726889093935891,0.0
0.01,0.29743806614968193,0.0
0.01,0.3221872229057748,0.0
0.01,0.34693637966186763,0.0
0.01,0.3716855364179605,0.0
0.01,0.4127445831877797,0.0
0.01,0.4538036299575989,0.0
0.01,0.49486267672741807,3.61328125
0.01,0.5359217234972373,3.80859375
0.01,0.6051558083989804,3.80859375
0.01,0.6743898933007235,4.00390625
0.01,0.7436239782024666,4.00390625
0.01,0.8128580631042097,4.00390625
0.01,0.935573932290564,4.00390625
0.01,1.0582898014769182,4.19921875
0.01,1.1810056706632726,4.19921875
0.01,1.303721539849627,4.19921875
0.01,1.4895836312208823,4.19921875
0.01,1.6754457225921378,4.19921875
0.01,1.8613078139633932,4.19921875
0.01,2.0471699053346484,4.19921875
0.01,2.3130780289355966,4.19921875
0.01,2.5789861525365447,4.19921875
0.01,2.844894276137493,4.39453125
0.01,3.110802399738441,4.39453125
0.01,3.6289096101471037,4.39453125
0.01,4.147016820555766,4.39453125
0.01,4.665124030964429,4.39453125
0.01,5.850651615053572,4.39453125
0.01,7.0361791991427145,4.58984375
0.01,8.221706783231857,4.58984375
0.01,9.589365400495518,4.58984375
0.01,10.95702401775918,4.58984375
0.01,12.32468263502284,4.78515625
0.01,13.692341252286502,4.78515625
0.01,15.059999869550163,4.78515625
0.01,16.427658486813822,4.98046875
0.01,17.795317104077483,4.98046875
0.01,19.38331224942714,4.98046875
0.01,20.971307394776794,5.17578125
0.01,22.55930254012645,5.17578125
0.01,24.147297685476104,5.17578125
0.01,25.73529283082576,5.37109375
0.01,27.323287976175415,5.37109375
0.01,28.91128312152507,5.37109375
0.01,30.6756015449524,5.56640625
0.01,32.439919968379726,5.56640625
0.01,34.20423839180705,5.76171875
0.01,35.96855681523438,5.76171875
0.01,37.732875238661705,5.76171875
0.01,39.49719366208903,5.95703125
0.01,41.26151208551636,5.95703125
0.01,43.025830508943685,6.15234375
0.01,44.79014893237101,6.15234375
0.01,46.55446735579834,6.15234375
0.01,48.318785779225664,6.34765625
0.01,50.08310420265299,6.34765625
0.01,51.847422626080316,6.54296875
0.01,53.61174104950764,6.54296875
0.01,55.37605947293497,6.73828125
0.01,57.140377896362295,6.73828125
0.01,58.90469631978962,6.73828125
0.01,60.66901474321695,6.93359375
0.01,62.433333166644275,6.93359375
0.01,64.1976515900716,7.12890625
0.01,65.96197001349893,7.12890625
0.01,67.72628843692625,7.32421875
0.01,69.49060686035358,7.32421875
0.01,71.2549252837809,7.32421875
0.01,73.01924370720823,7.51953125
0.01,74.78356213063556,7.51953125
0.01,76.54788055406289,7.71484375
0.01,78.31219897749021,7.71484375
0.01,80.07651740091754,7.91015625
0.01,81.84083582434486,7.91015625
0.01,83.60515424777219,8.10546875
0.01,85.36947267119952,8.10546875
0.01,87.13379109462684,8.30078125
0.01,88.89810951805417,8.30078125
0.01,90.6624279414815,8.30078125
0.01,92.42674636490882,8.49609375
0.01,94.19106478833615,8.49609375
0.01,95.95538321176348,8.69140625
0.01,97.7197016351908,8.69140625
0.01,99.48402005861813,8.88671875
0.01,101.24833848204545,8.88671875
0.01,103.01265690547278,9.08203125
0.01,104.77697532890011,9.08203125
0.01,106.54129375232743,9.27734375
0.01,108.30561217575476,9.27734375
0.01,110.06993059918209,9.47265625
0.01,111.83424902260941,9.47265625
0.01,113.59856744603674,9.47265625
0.01,115.36288586946407,9.66796875
0.01,117.12720429289139,9.66796875
0.01,118.89152271631872,9.86328125
0.01,120.65584113974604,9.86328125
0.01,122.42015956317337,10.05859375
0.01,124.1844779866007,10.05859375
0.01,125.94879641002802,10.25390625
0.01,127.71311483345535,10.25390625
0.01,129.47743325688268,10.44921875
0.01,131.24175168031002,10.44921875
0.01,133.00607010373736,10.64453125
0.01,134.7703885271647,10.64453125
0.01,136.53470695059204,10.83984375
0.01,138.29902537401938,10.83984375
0.01,140.06334379744672,11.03515625
0.01,141.82766222087406,11.03515625
0.01,143.5919806443014,11.23046875
0.01,145.35629906772874,11.23046875
0.01,147.12061749115608,11.23046875
0.01,148.88493591458342,11.42578125
0.01,150.64925433801076,11.42578125
0.01,152.4135727614381,11.62109375
0.01,154.17789118486544,11.62109375
0.01,155.94220960829279,11.81640625
0.01,157.70652803172013,11.81640625
0.01,159.47084645514747,12.01171875
0.01,161.2351648785748,12.01171875
0.01,162.67136786227562,12.20703125
0.01,163.85175883242235,12.20703125
0.01,165.03214980256908,12.20703125
0.01,166.2125407727158,12.40234375
0.01,167.39293174286254,12.40234375
0.01,168.57332271300928,12.40234375
0.01,169.753713683156,12.59765625
0.01,170.93410465330274,12.59765625
0.01,172.2411692268705,12.59765625
0.01,173.54823380043828,12.79296875
0.01,174.85529837400605,12.79296875
0.01,176.16236294757383,12.98828125
0.01,177.64019029886674,12.98828125
0.01,179.11801765015966,12.98828125
0.01,180.59584500145257,13.18359375
0.01,182.0736723527455,13.18359375
0.01,183.5514997040384,13.37890625
0.01,185.02932705533132,13.37890625
0.01,186.50715440662424,13.37890625
0.01,187.98498175791715,13.57421875
0.01,189.46280910921007,13.57421875
0.01,190.67589407740707,13.76953125
0.01,191.88897904560406,13.76953125
0.01,193.10206401380105,13.76953125
0.01,194.31514898199805,13.96484375
0.01,195.8142240035602,13.96484375
0.01,196.97178007982373,13.96484375
0.01,198.12933615608725,14.16015625
0.01,199.28689223235077,14.16015625
0.01,200.44444830861428,14.16015625
0.01,201.81504243988948,14.35546875
0.01,202.94030261613105,14.35546875
0.01,204.06556279237262,14.55078125
0.01,205.19082296861419,14.55078125
0.01,206.31608314485575,14.55078125
0.01,207.44134332109732,14.55078125
0.01,208.5666034973389,14.74609375
0.01,209.48472940075234,14.74609375
0.01,209.64053000139074,14.74609375
0.01,209.79633060202914,14.74609375
0.01,209.95213120266754,14.74609375
0.01,210.26373240394437,14.74609375
0.01,210.5753336052212,14.74609375
0.01,210.88693480649803,14.74609375
0.01,211.95463684150164,14.94140625
0.01,213.02233887650524,14.94140625
0.01,214.09004091150885,14.94140625
0.01,215.15774294651246,15.13671875
0.01,216.73464557700066,15.13671875
0.01,218.31154820748887,15.33203125
0.01,219.88845083797708,15.33203125
0.01,221.46535346846528,15.52734375
0.01,223.0422560989535,15.52734375
0.01,224.6191587294417,15.52734375
0.01,226.1960613599299,15.72265625
0.01,227.7729639904181,15.72265625
0.01,229.3498666209063,15.91796875
0.01,230.92676925139452,15.91796875
0.01,232.50367188188272,16.11328125
0.01,234.08057451237093,16.11328125
0.01,235.65747714285914,16.30859375
0.01,237.23437977334734,16.30859375
0.01,238.81128240383555,16.50390625
0.01,240.38818503432375,16.50390625
0.01,241.96508766481196,16.69921875
0.01,243.54199029530017,16.69921875
0.01,245.11889292578837,16.89453125
0.01,246.69579555627658,16.89453125
0.01,248.27269818676479,17.08984375
0.01,249.849600817253,17.08984375
0.01,251.4265034477412,17.08984375
0.01,253.0034060782294,17.28515625
0.01,254.5803087087176,17.28515625
0.01,256.15721133920584,17.48046875
0.01,257.7341139696941,17.48046875
0.01,259.3110166001823,17.67578125
0.01,260.88791923067055,17.67578125
0.01,262.4648218611588,17.87109375
0.01,264.041724491647,17.87109375
0.01,265.61862712213525,18.06640625
0.01,267.1955297526235,18.06640625
0.01,268.7724323831117,18.26171875
0.01,270.34933501359995,18.26171875
0.01,271.9262376440882,18.45703125
0.01,273.5031402745764,18.45703125
0.01,275.08004290506466,18.65234375
0.01,276.6569455355529,18.65234375
0.01,278.2338481660411,18.84765625
0.01,279.81075079652936,18.84765625
0.01,281.3876534270176,19.04296875
0.01,282.96455605750583,19.04296875
0.01,284.54145868799407,19.23828125
0.01,286.1183613184823,19.23828125
0.01,287.69526394897053,19.43359375
0.01,289.27216657945877,19.43359375
0.01,290.849069209947,19.62890625
0.01,292.42597184043524,19.62890625
0.01,294.0028744709235,19.82421875
0.01,295.5797771014117,19.82421875
0.01,297.15667973189994,20.01953125
0.01,298.7335823623882,20.01953125
0.01,300.3104849928764,20.21484375
0.01,301.88738762336465,20.21484375
0.01,303.4642902538529,20.41015625
0.01,305.0411928843411,20.41015625
0.01,306.61809551482935,20.60546875
0.01,308.1949981453176,20.60546875
0.01,309.7719007758058,20.80078125
0.01,311.34880340629405,20.80078125
0.01,312.9257060367823,20.99609375
0.01,314.5026086672705,20.99609375
0.01,316.07951129775876,21.19140625
0.01,317.656413928247,21.19140625
0.01,319.2333165587352,21.38671875
0.01,320.81021918922346,21.38671875
0.01,322.3871218197117,21.58203125
0.01,323.96402445019993,21.58203125
0.01,325.54092708068816,21.77734375
0.01,327.1178297111764,21.77734375
0.01,328.69473234166463,21.97265625
0.01,330.27163497215287,21.97265625
0.01,331.8485376026411,22.16796875
0.01,333.42544023312934,22.16796875
0.01,335.00234286361757,22.36328125
0.01,336.5792454941058,22.36328125
0.01,338.15614812459404,22.55859375
0.01,339.7330507550823,22.55859375
0.01,341.3099533855705,22.75390625
0.01,342.88685601605874,22.75390625
0.01,344.463758646547,22.94921875
0.01,346.0406612770352,22.94921875
0.01,347.61756390752345,23.14453125
0.01,349.1944665380117,23.14453125
0.01,350.7713691684999,23.33984375
0.01,352.34827179898815,23.33984375
0.01,353.9251744294764,23.53515625
0.01,355.5020770599646,23.53515625
0.01,357.07897969045285,23.73046875
0.01,358.6558823209411,23.73046875
0.01,360.2327849514293,23.92578125
0.01,361.80968758191756,23.92578125
0.01,363.3865902124058,24.12109375
