g,time,width
0.01,0.0,1.85546875
0.01,0.000817549858748238,1.85546875
0.01,0.0010219373234352975,1.85546875
0.01,0.0010730341896070623,1.85546875
0.01,0.0010756119600987778,1.85546875
0.01,0.0010781897305904933,1.85546875
0.01,0.0010807675010822088,1.85546875
0.01,0.0010833452715739243,1.85546875
0.01,0.0010859230420656397,1.85546875
0.01,0.0010885008125573552,1.85546875
0.01,0.0010910785830490707,1.85546875
0.01,0.0010936563535407862,1.85546875
0.01,0.0010962341240325017,1.85546875
0.01,0.0010988118945242172,1.85546875
0.01,0.0011013896650159327,1.85546875
0.01,0.0011039674355076481,1.85546875
0.01,0.0011065452059993636,1.85546875
0.01,0.0011091229764910791,1.85546875
0.01,0.0011119959771167464,1.85546875
0.01,0.0011148689777424137,1.85546875
0.01,0.001117741978368081,1.85546875
0.01,0.0011204019048566198,1.85546875
0.01,0.0011470011697420083,1.85546875
0.01,0.001173600434627397,1.85546875
0.01,0.0012001996995127855,1.85546875
0.01,0.0014661923483666709,1.85546875
0.01,0.001732184997220556,1.85546875
0.01,0.003120590643480921,1.85546875
0.01,0.004508996289741285,1.85546875
0.01,0.006765248071885612,1.85546875
0.01,0.00902149985402994,1.85546875
0.01,0.011277751636174265,1.85546875
0.01,0.015222276001670604,1.66015625
0.01,0.019166800367166944,1.66015625
0.01,0.023111324732663283,1.66015625
0.01,0.027055849098159623,1.66015625
0.01,0.03185455534265546,1.46484375
0.01,0.0366532615871513,1.46484375
0.01,0.04145196783164714,1.46484375
0.01,0.04625067407614298,1.26953125
0.01,0.05104938032063882,1.26953125
0.01,0.05584808656513466,1.07421875
0.01,0.0606467928096305,1.07421875
0.01,0.06544549905412633,0.87890625
0.01,0.07024420529862217,0.68359375
0.01,0.07504291154311801,0.29296875
0.01,0.0803897244387068,0.0
0.01,0.08573653733429559,0.0
0.01,0.09108335022988438,0.0
0.01,0.09643016312547317,0.0
0.01,0.10177697602106196,0.0
0.01,0.10712378891665075,0.0
0.01,0.11247060181223954,0.0
0.01,0.11781741470782833,0.0
0.01,0.12316422760341712,0.0
0.01,0.12927572649458174,0.0
0.01,0.13538722538574635,0.0
0.01,0.14149872427691096,0.0
0.01,0.14831239509580632,0.0
0.01,0.15398536235403015,0.0
0.01,0.15965832961225399,0.0
0.01,0.16533129687047782,0.0
0.01,0.17355139302937675,0.0
0.01,0.18177148918827568,0.0
0.01,0.1899915853471746,0.0
0.01,0.19821168150607354,0.0
0.01,0.20643177766497248,0.0
0.01,0.2146518738238714,0.0
0.01,0.22888177412982125,0.0
0.01,0.24311167443577109,0.0
0.01,0.2573415747417209,0.0
0.01,0.2791898798812561,0.0
0.01,0.30103818502079127,0.0
0.01,0.32288649016032644,0.0
0.01,0.3447347952998616,0.0
0.01,0.3698177670154805,0.0
0.01,0.39490073873109943,0.0
0.01,0.41998371044671834,0.0
0.01,0.4610355096377696,0.0
0.01,0.5020873088288209,3.80859375
0.01,0.5431391080198722,3.80859375
0.01,0.613228275066324,4.00390625
0.01,0.6833174421127759,4.00390625
0.01,0.7534066091592277,4.00390625
0.01,0.8619335102925157,4.00390625
0.01,0.9704604114258037,4.19921875
0.01,1.0789873125590919,4.19921875
0.01,1.2273274121361921,4.19921875
0.01,1.3756675117132924,4.19921875
0.01,1.5240076112903926,4.19921875
0.01,1.672347710867493,4.19921875
0.01,1.8678205077102972,4.19921875
0.01,2.0632933045531012,4.19921875
0.01,2.2587661013959055,4.19921875
0.01,2.4542388982387098,4.19921875
0.01,2.649711695081514,4.19921875
0.01,2.9174863753766234,4.39453125
0.01,3.1852610556717327,4.39453125
0.01,3.453035735966842,4.39453125
0.01,3.7208104162619513,4.39453125
0.01,4.4315784926393755,4.39453125
0.01,5.1423465690168,4.39453125
0.01,5.853114645394224,4.39453125
0.01,7.399196329043436,4.58984375
0.01,8.945278012692647,4.58984375
0.01,10.49135969634186,4.58984375
0.01,12.251284980017374,4.78515625
0.01,14.011210263692888,4.78515625
0.01,15.771135547368402,4.78515625
0.01,17.531060831043916,4.78515625
0.01,19.29098611471943,4.98046875
0.01,21.050911398394945,4.98046875
0.01,23.249837566548653,4.98046875
0.01,25.0,5.17578125
